date,symbol,named_event,n_bars,n_grid,has0930,y_open,y_high,y_low,y_close,y_ret,hf_open,hf_high,hf_low,hf_close,capture,high_bp_scalefree,low_bp_scalefree,zero_range_bars
2006-06-15,IWM,False,76.0,78.0,True,68.04000091552734,69.97000122070312,67.91000366210938,69.76000213623047,0.0342476692735933,56.26,57.84,56.15,57.73,0.9913452423551087,-11.015700287360097,-8.724499107883865,0.0
2006-06-29,IWM,False,76.0,78.0,True,68.80999755859375,71.25,68.80999755859375,71.25,0.0386297607117089,56.95,59.03,56.95,59.01,1.0292771419315974,3.389256058294876,-6.872235147933337,0.0
2006-07-24,IWM,False,75.0,78.0,True,67.26000213623047,68.91000366210938,67.25,68.87999725341797,0.0319100712122542,55.73,56.99,55.72,56.98,0.924837329614885,-2.600196797670762,15.88882542873371,0.0
2007-02-27,IWM,False,76.0,78.0,True,80.36000061035156,80.94000244140625,77.47000122070312,78.05000305175781,-0.0468921280560667,67.07,67.54,64.95,65.26,0.8926803837206212,-20.1572544841655,27.009987541199987,0.0
2007-08-03,IWM,False,75.0,78.0,True,78.01000213623047,78.20999908447266,74.95999908447266,75.3499984741211,-0.035581708396582,65.4,65.47,62.74,62.8,1.0078662216283703,43.92969819211112,42.42381925432692,0.0
2007-08-08,IWM,False,76.0,77.0,True,77.88999938964844,80.0999984741211,77.81999969482422,79.5199966430664,0.0300518107064127,65.14,67.1,65.14,66.06,1.0348067205441875,83.88295359466281,76.142786875526,0.0
2007-09-18,IWM,False,75.0,78.0,False,77.80999755859375,80.5999984741211,77.23999786376953,80.5199966430664,0.0425999371115841,64.97,67.48,64.68,67.47,0.9945158591031861,-8.445116608708503,-6.426841428008867,0.0
2007-10-19,IWM,False,73.0,78.0,True,81.91000366210938,82.12000274658203,79.0,79.08999633789062,-0.0357229995744393,68.76,68.81,66.44,66.55,0.9027486867010133,-41.90882633640092,-5.155813770071349,0.0
2007-11-01,IWM,False,73.0,78.0,True,81.37000274658203,81.4000015258789,79.0,79.13999938964844,-0.0386297414597259,68.32,68.33,66.34,66.62,0.9849926114336855,-28.08835301513102,-24.38246105955666,0.0
2007-11-07,IWM,False,73.0,78.0,True,78.9000015258789,79.12000274658203,77.16999816894531,77.4800033569336,-0.0310154546765202,66.18,66.42,64.77,64.82,1.0114138990796533,34.440953857364235,32.42706840255405,0.0
2007-11-13,IWM,False,75.0,78.0,True,77.18000030517578,78.73999786376953,77.12999725341797,78.5,0.031401910005022,64.76,66.08,64.74,65.82,0.9926371765123558,8.901480473046952,10.624194032184953,0.0
2007-11-28,IWM,False,78.0,78.0,True,74.91000366210938,76.88999938964844,74.86000061035156,76.87000274658203,0.0394862193217337,62.89,64.56,62.82,64.5,1.0215288899796784,6.699224429915773,1.0428420773078706,0.0
2007-12-11,IWM,False,78.0,78.0,True,79.27999877929688,79.58000183105469,76.25,76.3499984741211,-0.0348881571853928,66.6,66.83,64.03,64.05,1.002313218029243,10.537917005088993,9.987898384660188,0.0
