block,n,start,end,ic
0,8755,2006-01-03,2006-04-03,-0.02286709546832307
1,8806,2006-04-04,2006-07-03,-0.027812341487013413
2,8896,2006-07-05,2006-10-02,-0.02218911735459072
3,8671,2006-10-03,2007-01-03,-0.017259311163575593
4,8619,2007-01-04,2007-04-05,-0.05085322338447337
5,8776,2007-04-09,2007-07-06,-0.04333488926124167
6,9028,2007-07-09,2007-10-04,-0.0020171817368509113
7,8916,2007-10-05,2008-01-04,-0.03634853268093851
8,9055,2008-01-07,2008-04-07,-0.02088565235001994
9,8936,2008-04-08,2008-07-07,-0.044171700821128916
10,9088,2008-07-08,2008-10-03,-0.02045030807581862
11,8998,2008-10-06,2009-01-05,-0.010965073748469523
12,9182,2009-01-06,2009-04-06,-0.03242552710640427
13,8942,2009-04-07,2009-07-07,-0.034612807900773986
14,8820,2009-07-08,2009-10-05,-0.05985563399494743
15,8607,2009-10-06,2010-01-05,-0.02534075720398792
16,8785,2010-01-06,2010-04-07,-0.057681764861687454
17,9121,2010-04-08,2010-07-07,-0.014474266267150638
18,9113,2010-07-08,2010-10-05,-0.04242793208564352
19,8628,2010-10-06,2011-01-04,-0.04955357331619264
20,8898,2011-01-05,2011-04-05,-0.06139119403587904
21,9041,2011-04-06,2011-07-06,-0.04063791826065965
22,9205,2011-07-07,2011-10-04,-0.0035798815235795283
23,8981,2011-10-05,2012-01-04,-0.04248291647723764
24,8958,2012-01-05,2012-04-04,-0.06057538807131889
25,9021,2012-04-05,2012-07-05,-0.03998764081224889
26,8837,2012-07-06,2012-10-03,-0.034369015511315826
27,8834,2012-10-04,2013-01-07,-0.06546826803578396
28,8946,2013-01-08,2013-04-09,-0.06141903804049963
29,9021,2013-04-10,2013-07-09,-0.013288833684984581
30,8964,2013-07-10,2013-10-07,-0.05744559931031732
31,8872,2013-10-08,2014-01-07,-0.041406937497184534
32,9075,2014-01-08,2014-04-08,-0.035692013541719865
33,8974,2014-04-09,2014-07-09,-0.023301507754582753
34,9034,2014-07-10,2014-10-07,-0.03520455576149298
35,8983,2014-10-08,2015-01-07,-0.026524205232096233
36,9070,2015-01-08,2015-04-09,0.0029334782292902597
37,9074,2015-04-10,2015-07-09,-0.012420649333577163
38,9177,2015-07-10,2015-10-07,-0.02349559048764289
39,8992,2015-10-08,2016-01-07,-0.03706064545971326
40,9157,2016-01-08,2016-04-08,-0.027198532216765
41,9129,2016-04-11,2016-07-08,-0.011044593487612433
42,9093,2016-07-11,2016-10-06,-0.02394438039284472
43,9003,2016-10-07,2017-01-06,-0.021374546966922592
44,9110,2017-01-09,2017-04-07,-0.04188962961265468
45,8998,2017-04-10,2017-07-10,-0.01625639726685855
46,8976,2017-07-11,2017-10-06,-0.03698563631476922
47,8985,2017-10-09,2018-01-08,-0.045784671262745796
48,9159,2018-01-09,2018-04-10,-0.019919308022721162
49,9083,2018-04-11,2018-07-10,-0.02259936806248221
50,9121,2018-07-11,2018-10-08,-0.009861639111290888
51,9087,2018-10-09,2019-01-09,0.0037022749480258165
52,9136,2019-01-10,2019-04-10,0.008041219817509953
53,9104,2019-04-11,2019-07-11,-0.024780486026981935
54,9131,2019-07-12,2019-10-09,-0.0095555292557924
55,8968,2019-10-10,2020-01-09,-0.02386712281776008
56,9150,2020-01-10,2020-04-09,-0.010609345070568064
57,9163,2020-04-13,2020-07-10,-0.04514884533427314
58,9105,2020-07-13,2020-10-08,-0.03066948471550478
59,8960,2020-10-09,2021-01-08,-0.013563032232331122
60,4929,2021-01-11,2021-03-01,-0.01036920035881668
