bucket,n,frac_bullish,concordance,pi_0,lift,mean_r,median_r
1,51409,0.0,0.47279659203641383,0.4930273344325963,-0.020230742396182444,-0.001910557070658511,0.07691925761423639
2,50366,0.0,0.4672398046301076,0.4930273344325963,-0.025787529802488662,0.016562893791249932,0.08391245031274078
3,50370,0.0,0.47756601151479056,0.4930273344325963,-0.01546132291780572,0.01640572949031859,0.07303565971519947
4,51773,0.0,0.4701678481061557,0.4930273344325963,-0.02285948632644058,0.018040564158975904,0.07026565905062934
5,63550,0.016428009441384738,0.21966955153422502,0.4932564284641421,-0.27358687692991707,0.007977113892726118,0.0593917755099454
6,35852,0.9612573914983822,0.48663951801852057,0.5064323870628225,-0.019792869044301886,-0.008023716505853712,0.03531326531032529
7,50544,1.0,0.49893162393162394,0.5069726655674037,-0.008041041635779789,-0.012235578676760344,-0.026760767940157235
8,50460,1.0,0.4913594926674594,0.5069726655674037,-0.01561317289994435,-0.011151564071822443,-0.05186175063495663
9,50551,1.0,0.48220608890031846,0.5069726655674037,-0.02476657666708526,-0.01647537781228583,-0.0654668866309009
10,50312,1.0,0.47767928128478293,0.5069726655674037,-0.029293384282620794,-0.011042500294143144,-0.06956688688718758
